08-17 04:41 INFO     Initialising repertoire with random population
08-17 04:56 INFO     Total quality increase by better genomes in this iteration 0.620819648217554
08-17 04:56 INFO     Normalised quality increase by better genomes in this iteration 0.08868852117393629
08-17 04:56 INFO     Number of new genomes added in this iteration 2

08-17 04:56 INFO     Iteration 36
08-17 04:57 INFO     Repertoire Metrics
08-17 04:57 INFO     Total Quality -223.9715078219959
08-17 04:57 INFO     Max Quality -0.03876079245915909
08-17 04:57 INFO     Max Quality Bin (16, 15)
08-17 04:57 INFO     Min Quality -1.3825127567207098
08-17 04:57 INFO     Min Quality Bin (31, 14)
08-17 04:57 INFO     Number of genomes 375
08-17 04:57 INFO     Mean quality -0.5972573541919891
08-17 04:57 INFO     
08-17 04:57 INFO     Number of better genomes found in this iteration 8
08-17 04:57 INFO     Total quality increase by better genomes in this iteration 1.5952049586531543
08-17 04:57 INFO     Normalised quality increase by better genomes in this iteration 0.19940061983164428
08-17 04:57 INFO     Number of new genomes added in this iteration 3

08-17 04:57 INFO     Iteration 37
08-17 04:57 INFO     Repertoire Metrics
08-17 04:57 INFO     Total Quality -226.15578877473422
